ASIN,商品标题,排名,价格,评分,评论数,月销量,品牌,卖家类型,上架月数,类目,关键词,月搜索量,建议CPC
B0DEMO0001,Yoga Mat Strap Pro,1,19.99,4.4,820,1250,FlexPath,Third Party,38,Sports & Outdoors,yoga mat strap,18000,0.82
B0DEMO0002,Cotton Yoga Carry Sling,2,15.99,4.2,610,1100,MoveWell,Third Party,44,Sports & Outdoors,yoga mat carrier,9500,0.74
B0DEMO0003,Adjustable Mat Holder,3,17.49,4.5,490,980,ZenLoop,Third Party,29,Sports & Outdoors,yoga strap,7600,0.91
B0DEMO0004,Wide Yoga Sling,4,21.99,4.1,380,870,CoreNest,Third Party,7,Sports & Outdoors,mat sling,4200,0.68
B0DEMO0005,Minimal Mat Carry Strap,5,13.99,4.3,300,790,DailyForm,Third Party,52,Sports & Outdoors,yoga mat holder,3100,0.63
B0DEMO0006,Soft Cotton Mat Strap,6,16.99,4.6,255,720,FlexPath,Third Party,35,Sports & Outdoors,,,
B0DEMO0007,Quick Loop Yoga Carrier,7,18.99,4.0,210,680,MoveWell,Third Party,9,Sports & Outdoors,,,
B0DEMO0008,Heavy Duty Mat Sling,8,22.99,4.4,195,640,ZenLoop,Third Party,41,Sports & Outdoors,,,
B0DEMO0009,Boho Yoga Mat Strap,9,20.49,4.2,180,610,CoreNest,Third Party,4,Sports & Outdoors,,,
B0DEMO0010,Simple Yoga Carry Belt,10,14.49,4.5,170,590,DailyForm,Third Party,31,Sports & Outdoors,,,
B0DEMO0011,Stretch Mat Holder,11,18.49,4.3,160,560,NorthFlow,Third Party,27,Sports & Outdoors,,,
B0DEMO0012,Canvas Yoga Sling,12,24.99,4.6,145,530,CalmGear,Third Party,48,Sports & Outdoors,,,
B0DEMO0013,Adjustable Yoga Belt Carrier,13,16.49,4.1,132,500,OpenTrail,Third Party,6,Sports & Outdoors,,,
B0DEMO0014,Mat Strap with Pocket,14,25.99,4.4,120,470,SunArc,Third Party,22,Sports & Outdoors,,,
B0DEMO0015,Lightweight Mat Loop,15,12.99,4.3,116,450,KindMotion,Third Party,58,Sports & Outdoors,,,
B0DEMO0016,Organic Cotton Yoga Strap,16,23.49,4.7,108,430,NorthFlow,Third Party,34,Sports & Outdoors,,,
B0DEMO0017,Travel Yoga Mat Carrier,17,19.49,4.0,96,410,CalmGear,Third Party,11,Sports & Outdoors,,,
B0DEMO0018,Multi-use Stretch Strap,18,17.99,4.2,88,390,OpenTrail,Third Party,26,Sports & Outdoors,,,
B0DEMO0019,Premium Yoga Sling,19,27.99,4.5,80,370,SunArc,Third Party,39,Sports & Outdoors,,,
B0DEMO0020,Everyday Mat Carry Strap,20,15.49,4.3,72,350,KindMotion,Third Party,18,Sports & Outdoors,,,
B0DEMO0021,DemoBasics Yoga Strap,21,11.99,4.4,650,340,DemoBasics,Amazon,60,Sports & Outdoors,,,
B0DEMO0022,Extra Long Mat Sling,22,20.99,4.1,65,320,FlexPath,Third Party,3,Sports & Outdoors,,,
B0DEMO0023,Budget Yoga Carrier,23,9.99,3.9,58,280,ValuePose,Third Party,16,Sports & Outdoors,,,
B0DEMO0024,Colorful Mat Strap,24,14.99,4.2,46,240,BrightAsana,Third Party,8,Sports & Outdoors,,,
B0DEMO0025,Compact Yoga Loop,25,12.49,4.5,39,190,TrailZen,Third Party,20,Sports & Outdoors,,,
